,1a,1b,1c,1d,1e,1f,1g,1h,2a,2b,2c,2d,2e,2f,2g,2h,3a,3b,3c,3d,3e,3f,3g,3h,4a,4b,4c,4d,4e,4f,4g,4h,5a,5b,5c,5d,5e,5f,5g,5h,6a,6b,6c,6d,6e,6f,6g,6h,7a,7b,7c,7d,7e,7f,7g,7h,8a,8b,8c,8d,8e,8f,8g,8h,val
2437,r,n,b,0,0,b,n,N,p,p,0,p,p,k,0,0,0,0,0,0,0,0,0,0,0,0,p,0,0,p,0,p,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,P,P,P,P,P,0,P,P,R,0,B,Q,K,B,0,R,1429.0
2438,r,n,b,0,0,b,n,N,p,p,0,p,p,0,k,0,0,0,0,0,0,0,0,0,0,0,p,0,0,p,0,p,0,0,0,0,P,0,0,0,0,0,N,0,0,0,0,0,P,P,P,P,0,0,P,P,R,0,B,Q,K,B,0,R,1316.0
2439,r,n,b,0,0,b,n,N,p,p,0,p,p,0,k,0,0,0,0,0,0,0,0,0,0,0,p,0,0,0,0,Q,0,0,0,0,p,0,0,0,0,0,N,0,0,0,0,0,P,P,P,P,0,0,P,P,R,0,B,0,K,B,0,R,1519.5
2440,r,n,b,0,0,b,n,N,p,0,0,p,p,0,k,0,0,0,0,0,0,0,0,0,0,p,p,0,Q,0,0,0,0,0,0,0,p,0,0,0,0,0,N,0,0,0,0,0,P,P,P,P,0,0,P,P,R,0,B,0,K,B,0,R,1719.0
2441,r,n,b,0,0,b,0,N,p,0,0,p,p,0,k,0,0,0,0,0,0,n,0,0,0,p,p,0,Q,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,P,P,P,P,0,0,P,P,R,0,B,0,K,B,0,R,1614.0
2442,r,0,b,0,0,b,0,N,p,0,0,p,p,0,k,0,0,0,n,0,0,n,0,0,0,p,Q,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,P,P,P,P,0,0,P,P,R,0,B,0,K,B,0,R,1619.0
2443,r,0,b,0,0,b,0,N,p,0,0,p,0,0,k,0,0,0,n,0,0,n,0,0,0,Q,0,0,p,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,P,P,P,P,0,0,P,P,R,0,B,0,K,B,0,R,1717.0
2444,r,0,b,0,0,b,0,N,p,0,0,p,0,0,k,0,0,0,0,0,0,N,0,0,0,Q,0,0,p,0,0,0,0,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,P,P,P,0,0,P,P,R,0,B,0,K,B,0,R,1916.5
2445,r,0,b,0,0,b,0,N,p,0,0,p,0,0,k,0,0,0,0,0,0,N,0,0,0,Q,0,0,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,P,n,P,K,0,P,P,R,0,B,0,0,B,0,R,1602.5
2446,r,0,b,0,0,b,0,N,p,0,0,N,0,0,k,0,0,0,0,0,0,0,0,0,0,Q,0,0,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,P,0,P,K,0,P,P,n,0,B,0,0,B,0,R,1512.5
